"Name","O3.ppb","PM10.μg/m3","CO.ppm","SO2.ppb","NOx.ppb","Lon","Lat"
"二林",23.928,35.347,0.216,3.623,8.897,120.409653,23.925175
"南投",21.992,42.565,0.315,2.229,14.506,120.685306,23.913
"埔里",34.703,31.24,0.249,1.841,10.22,120.967903,23.968842
"竹山",29.823,41.086,0.212,2.315,10.122,120.677306,23.756389
"大里",27.103,46.838,0.369,2.808,15.726,120.677689,24.099611
"彰化",25.798,47.54,0.298,4.535,11.813,120.541519,24.066
"忠明",29.129,36.143,0.324,2.829,16.32,120.641092,24.151958
"沙鹿",29.856,30.226,0.281,3.019,13.432,120.568794,24.225628
"線西",30.591,32.785,0.234,2.723,9.631,120.469061,24.131672
"西屯",28.797,42.405,0.277,2.53,14.034,120.616917,24.162197
"豐原",31.323,36.024,0.39,3.036,12.922,120.741711,24.256586
"三重",NA,59.02,1.093,4.547,76.116,121.493806,25.072611
"土城",34.638,40.767,0.428,3.536,20.585,121.451861,24.982528
"士林",31.66,36.636,0.34,3.063,15.196,121.5145,25.105917
"大同",NA,57.152,1.078,4.136,53.909,121.513311,25.0632
"大園",36.221,40.979,0.263,3.653,14.221,121.201811,25.060344
"中山",27.882,43.057,0.558,3.591,29.501,121.526528,25.062361
"中壢",20.423,53.74,0.92,3.526,46.526,121.221667,24.953278
"古亭",35.632,43.32,0.427,3.051,21.898,121.529556,25.020608
"平鎮",31.979,47.687,0.332,3.275,17.23,121.204981,24.954208
"永和",31.173,38.218,0.715,3.229,31.23,121.516306,25.017
"汐止",34.568,36.6,0.401,5.24,23.27,121.6408,25.065669
"松山",33.994,41.318,0.426,5.229,23.852,121.578611,25.05
"板橋",31.528,46.325,0.498,4.204,23.667,121.458667,25.012972
"林口",35.123,45.874,0.295,3.829,17.493,121.365703,25.07857
"桃園",28.759,46.602,0.373,6.201,18.325,121.304417,24.995667
"基隆",36.89,28.872,0.312,3.397,14.29,121.760056,25.129167
"淡水",25.156,36.021,0.308,2.986,12.217,121.449239,25.1645
"富貴角",39.579,31.987,0.184,1.251,4.425,121.537975,25.297436
"菜寮",25.431,37.591,0.423,3.468,18.572,121.481028,25.06895
"陽明",44.719,19.74,0.189,1.855,4.645,121.529583,25.182722
"新店",38.819,37.083,0.368,2.952,15.854,121.537778,24.977222
"新莊",34.454,39.803,0.459,4.673,22.72,121.4325,25.037972
"萬里",40.729,42.995,0.244,3.692,7.961,121.689881,25.179667
"萬華",31.131,40.572,0.474,3.137,23.841,121.507972,25.046503
"龍潭",35.489,42.392,0.324,2.709,13.455,121.21635,24.863869
"觀音",31.018,46.407,0.219,3.323,9.716,121.082761,25.035503
"三義",32.445,31.597,0.201,3.005,9.746,120.758833,24.382942
"竹東",26.019,37.02,0.265,1.942,9.557,121.088903,24.740644
"苗栗",28.556,41.61,0.298,2.891,11.768,120.8202,24.565269
"湖口",32.204,35.99,0.249,2.915,12.323,121.038653,24.900142
"新竹",26.191,32.576,0.35,1.948,14.369,120.972075,24.805619
"頭份",28.479,37.6,0.275,3.018,13.208,120.898572,24.696969
"冬山",28.624,36.528,0.28,2.129,9.883,121.792928,24.632203
"宜蘭",33.342,36.022,0.274,2.02,6.269,121.746394,24.747917
"花蓮",26.831,29.053,0.222,1.751,5.812,121.599769,23.971306
"臺東",22.161,25.823,0.284,1.347,7.128,121.15045,22.755358
"關山",19.926,22.129,NA,2.14,4.865,121.161933,23.045083
"大寮",22.323,35.481,0.237,3.57,13.38,120.425311,22.564136
"小港",22.955,38.81,0.228,9.406,17.909,120.337736,22.565833
"仁武",27.559,39.54,0.253,3.766,12.193,120.332631,22.689056
"左營",27.437,41.621,0.226,3.038,9.918,120.292917,22.674861
"林園",30.135,26.933,0.174,2.913,6.117,120.41175,22.4795
"前金",27.905,42.016,0.223,3.451,10.147,120.288086,22.632567
"前鎮",24.167,35.205,0.228,5.718,15.108,120.307564,22.605386
"屏東",27.367,37.641,0.312,2.882,12.448,120.488033,22.673081
"恆春",31.824,32.722,0.116,1.521,2.271,120.788928,21.958069
"美濃",28.423,36.889,0.21,2.107,6.614,120.530542,22.883583
"復興",23.861,30.046,0.311,5.469,15.279,120.312017,22.608711
"楠梓",26.75,50.026,0.278,3.02,14.431,120.328289,22.733667
"鳳山",23.934,30.756,0.383,3.761,15.781,120.358083,22.627392
"潮州",25.377,43.955,0.188,2.136,7.769,120.561175,22.523108
"橋頭",22.593,29.762,0.25,3.037,11.332,120.305689,22.757506
"斗六",30.05,43.939,0.278,2.81,12.255,120.544994,23.711853
"安南",26.742,45.104,0.244,2.022,10.655,120.218333,23.048333
"朴子",28.055,52.511,0.253,2.915,9.465,120.24735,23.465308
"崙背",29.426,43.852,0.222,2.544,7.583,120.348742,23.757547
"麥寮",26.519,51.582,0.237,2.882,10.206,120.251825,23.753506
"善化",21.315,38.993,0.223,2.622,10.133,120.297142,23.115097
"新港",26.39,45.172,0.234,2.495,9.505,120.345531,23.554839
"新營",23.209,47.215,0.26,2.706,10.327,120.31725,23.305633
"嘉義",26.997,45.374,0.279,3.529,11.246,120.440833,23.462778
"臺西",30.532,37.147,0.209,2.9,8.8,120.202842,23.717533
"臺南",28.194,35.948,0.249,2.792,9.996,120.202617,22.984581
