序號,縣市,測站名稱,空品區,經度,緯度
1,臺北市,士林,北部空品區,121.5145,25.105917
2,臺北市,萬華,北部空品區,121.507972,25.046503
3,臺北市,大同,北部空品區,121.513311,25.0632
4,臺北市,中山,北部空品區,121.526528,25.062361
5,臺北市,古亭,北部空品區,121.529556,25.020608
6,臺北市,松山,北部空品區,121.578611,25.05
7,臺北市,陽明,北部空品區,121.529583,25.182722
8,新北市,土城,北部空品區,121.451861,24.982528
9,新北市,林口,北部空品區,121.365703,25.07857
10,新北市,富貴角,北部空品區,121.537975,25.297436
11,新北市,萬里,北部空品區,121.689881,25.179667
12,新北市,汐止,北部空品區,121.6408,25.065669
13,新北市,淡水,北部空品區,121.449239,25.1645
14,新北市,新店,北部空品區,121.537778,24.977222
15,新北市,新莊,北部空品區,121.4325,25.037972
16,新北市,永和,北部空品區,121.516306,25.017
17,新北市,菜寮,北部空品區,121.481028,25.06895
18,新北市,板橋,北部空品區,121.458667,25.012972
19,新北市,三重,北部空品區,121.493806,25.072611
20,臺中市,西屯,中部空品區,120.616917,24.162197
21,臺中市,忠明,中部空品區,120.641092,24.151958
22,臺中市,豐原,中部空品區,120.741711,24.256586
23,臺中市,沙鹿,中部空品區,120.568794,24.225628
24,臺中市,大里,中部空品區,120.677689,24.099611
25,臺南市,新營,雲嘉南空品區,120.31725,23.305633
26,臺南市,善化,雲嘉南空品區,120.297142,23.115097
27,臺南市,安南,雲嘉南空品區,120.218333,23.048333
28,臺南市,臺南,雲嘉南空品區,120.202617,22.984581
29,高雄市,左營,高屏空品區,120.292917,22.674861
30,高雄市,楠梓,高屏空品區,120.328289,22.733667
31,高雄市,前金,高屏空品區,120.288086,22.632567
32,高雄市,前鎮,高屏空品區,120.307564,22.605386
33,高雄市,復興,高屏空品區,120.312017,22.608711
34,高雄市,小港,高屏空品區,120.337736,22.565833
35,高雄市,鳳山,高屏空品區,120.358083,22.627392
36,高雄市,林園,高屏空品區,120.41175,22.4795
37,高雄市,大寮,高屏空品區,120.425311,22.564136
38,高雄市,仁武,高屏空品區,120.332631,22.689056
39,高雄市,橋頭,高屏空品區,120.305689,22.757506
40,高雄市,美濃,高屏空品區,120.530542,22.883583
41,基隆市,基隆,北部空品區,121.760056,25.129167
42,新竹市,新竹,竹苗空品區,120.972075,24.805619
43,嘉義市,嘉義,雲嘉南空品區,120.440833,23.462778
44,宜蘭縣,冬山,宜蘭空品區,121.792928,24.632203
45,宜蘭縣,宜蘭,宜蘭空品區,121.746394,24.747917
46,桃園市,桃園,北部空品區,121.304417,24.995667
47,桃園市,大園,北部空品區,121.201811,25.060344
48,桃園市,觀音,北部空品區,121.082761,25.035503
49,桃園市,龍潭,北部空品區,121.21635,24.863869
50,桃園市,中壢,北部空品區,121.221667,24.953278
51,桃園市,平鎮,北部空品區,121.204981,24.954208
52,新竹縣,竹東,竹苗空品區,121.088903,24.740644
53,新竹縣,湖口,竹苗空品區,121.038653,24.900142
54,苗栗縣,三義,竹苗空品區,120.758833,24.382942
55,苗栗縣,苗栗,竹苗空品區,120.8202,24.565269
56,苗栗縣,頭份,竹苗空品區,120.898572,24.696969
57,彰化縣,線西,中部空品區,120.469061,24.131672
58,彰化縣,彰化,中部空品區,120.541519,24.066
59,彰化縣,二林,中部空品區,120.409653,23.925175
60,南投縣,埔里,中部空品區,120.967903,23.968842
61,南投縣,南投,中部空品區,120.685306,23.913
62,南投縣,竹山,中部空品區,120.677306,23.756389
63,雲林縣,麥寮,雲嘉南空品區,120.251825,23.753506
64,雲林縣,臺西,雲嘉南空品區,120.202842,23.717533
65,雲林縣,崙背,雲嘉南空品區,120.348742,23.757547
66,雲林縣,斗六,雲嘉南空品區,120.544994,23.711853
67,嘉義縣,新港,雲嘉南空品區,120.345531,23.554839
68,嘉義縣,朴子,雲嘉南空品區,120.24735,23.465308
69,屏東縣,恆春,高屏空品區,120.788928,21.958069
70,屏東縣,屏東,高屏空品區,120.488033,22.673081
71,屏東縣,潮州,高屏空品區,120.561175,22.523108
72,臺東縣,臺東,花東空品區,121.15045,22.755358
73,臺東縣,關山,花東空品區,121.161933,23.045083
74,花蓮縣,花蓮,花東空品區,121.599769,23.971306
